n,p,v
演奏,を,披露
プロセス,に,語る
音符,から,作る
曲,を,作る
即興,で,作る
インタフェース,を,披露
終わり,を,意味
子供,に,作る
計画,を,作る
ドルラップトップ,を,作る
配布,を,語る
計画,を,語る
プライズ,を,受ける
危機,に,対応
対応,を,示す
プライズ,で,願う
コラボ,を,通す
水準,を,上げる
成果,を,語る
tedprize,を,受賞
年,に,つなげる
力,で,つなげる
人々,を,つなげる
願い,を,発表
prize,を,受賞
上,から,根絶
天然痘,を,根絶
経緯,を,語る
前,に,見つける
気配,を,見つける
システム,を,提案
学校,で,教える
性質,を,理解
人生,を,導く
進化,を,否定
こと,に,反論
宗教,を,教える
スウィーニー,が,行く
年,に,行く
決別,から,演ずる
分間,を,演ずる
家,を,訪ねる
信念,を,考え直す
きっかけ,を,作り出す
統計データ,を,見せる
感,を,込める
神話,を,打ち崩す
動機,と,なる
力,に,話す
それ,に,ある
人,を,動かす
システム,を,構築
性,に,溢れる
奥底,に,訴えかける
何,を,訴えかける
創造性,を,殺す
真実,で,見せる
人間味,を,もつ
変化,に,できる
項目,を,挙げる
ハイブリッドカー,を,買う
名,を,考案
ユーザインタフェース,を,こき下ろす
例,を,示す
正義,を,求める
闘い,に,説明
地区,に,受ける
被害,を,受ける
こと,を,示す
世界,に,生きる
暴行,を,通報
プラットフォーム,を,立ち上げる
プライバシー,を,尊重
援助,と,しかり
正義,を,得る
手助け,を,する
権利,を,侵害
者,に,作る
世界,を,作る
トーク,で,訴える
家,に,泊まる
考え,に,賭ける
命運,を,賭ける
泊,を,経る
代わり,に,育む
繋がり,を,育む
デザイン,に,実現
文化,を,実現
夢,へ,乗り出す
裏,に,ある
問題,を,解決
もの,と,なる
生活,を,する
トーク,で,提案
デザイン,を,提案
生活,を,助ける
目標,を,持つ
初め,から,持つ
経路,で,使う
uber,を,使う
量,を,減らせる
路上,から,する
交通量,を,する
走行距離,に,する
大気,から,削減
炭素,を,削減
手,に,する
技術,と,ある
車,を,変える
車,に,変える
街,を,取り戻せる
手,に,かかる
編み物,で,飾る
遊び場,に,生まれ変わる
街,を,爆撃
毛糸,で,する
もの,から,始まる
活動,に,見出す
繋がり,を,見出す
世界中,に,広める
親しみ,を,感ずる
今,で,求める
もの,を,求める
社会,で,切望
場所,に,ある
スキル,を,持つ
世界中,に,広がる
誰,が,する
必要,と,する
枠,に,収まる
目,に,ある
人々,に,する
問題,に,挑む
必要性,を,訴える
モガヘッド,を,見る
中,で,呼びかける
時代,に,呼びかける
我々,に,呼びかける
メディア,で,映し出す
認識,と,戦う
偏見,より,選び取る
思いやり,を,選び取る
私,を,見る
ドローン,と,聞く
何,を,思う
美的,を,持つ
ロボット,を,開発
プロジェクト,で,開拓
境地,を,開拓
上,を,旋回
者,を,魅了
銀河,に,ある
運動,に,捉える
互い,に,引く
自体,に,取り込む
宇宙,を,振るう
波,で,振るう
重力波,を,見つける
ligo,と,呼ぶ
検出器,を,構築
発見,に,繋がる
変化,を,捉える
月,に,捉える
講演,で,解説
人,と,話せる
仕方,に,学ぶ
多く,を,学ぶ
実際,に,する
会話,を,する
司会,を,する
洞察,に,満ちる
講演,で,紹介
方法,を,紹介
人,と,話す
耳,を,傾ける
社会,に,広がる
社会,に,立ち込める
必要,と,する
社会悪,を,解決
汚職,を,促す
どちら,に,生み出す
格差,を,生み出す
状況,を,調査
成長,を,育む
資本主義,を,とらえる
スペクトル,と,とらえる
モデル,を,融合
行き詰まり,を,打破
知的障害,に,知る
そこ,で,培う
双方,で,変える
人生,を,変える
共,に,招待
あなた,を,招待
大会,へ,招待
見方,を,変える
会場,を,出る
チャンピオン,に,なれる
月,に,発生
ジノム,と,解明
ジノム,に,解明
経緯,を,解明
戦い,に,参加
研究,を,公開
ネット,で,公開
ウイルス,を,食い止める
次,に,来る
オープン,を,持つ
情報,を,共有
共,に,戦う
破壊,に,振り回す
協力,で,照らす
世界,を,照らす
死,に,至る
ウイルス,に,立ち向かう
海,に,辿り着く
海水,を,汚染
生命体,を,傷つける
ごみ,と,燃やす
中,に,放出
ダイオキシン,を,放出
袋,に,汚染
使命,に,目覚める
署名,を,集める
海岸,を,清掃
ハンスト,を,決行
年,に,廃止
袋,を,廃止
宣言,を,する
こと,で,報う
たち,に,向ける
誰,に,言う
年,に,検討
問題,を,検討
特許法,で,する
特許,を,取得
遺伝子,を,解読
こと,を,止める
せい,で,与える
者,に,与える
患者,に,及ぼす
害,を,及ぼす
障壁,に,なる
こと,を,憂慮
これ,に,立ち向かう
誰,が,起こす
訴訟,を,起こす
最高裁,に,たどり着く
話,を,聞く
界,と,争う
勝利,を,収める
昔,に,比べる
問題,を,解決
経済,を,支配
権力,を,握る
世界,を,する
食いもの,に,する
危機,を,起こす
時代,を,超える
同時,に,成り立つ
世界,に,聞く
主義,を,食う
図像,を,乗り越える
海図,を,作り上げる
様子,を,教える
絵,を,描く
鏡,を,覗く
世界,を,見る
レヴ,に,仕向ける
舞台,で,演ずる
役,を,演ずる
花,を,咲く
実際,に,塞ぐ
水路,を,塞ぐ
交易,を,止める
通学,を,阻害
生活,を,崩壊
災難,を,みなす
チャンス,と,みなす
水草,を,変える
工芸品,に,変える
植物,を,繁栄
ビジネス,に,変える
中,に,暮らす
建物,を,構成
物語,を,据える
中心,に,据える
かわり,に,できる
建築,を,見る
背後,に,ある
物語,に,傾ける
耳,を,傾ける
外国,で,なる
足止め,に,なる
儲け話,に,巻き込む
間,で,続ける
トーク,を,楽しむ
メール,に,返信
かなた,に,ある
大気,を,調べる
宇宙,に,住む
手がかり,を,探す
探求,を,行う
訓練,を,受ける
芸術,に,持つ
達,を,持つ
世界,に,持つ
興味,を,持つ
時間,に,する
背景,を,もつ
仲間,に,加わる
背景,を,活かす
私達,が,見出す
こと,を,見出す
生命,を,見つける
データ,を,集める
データ分析,で,出せる
常,に,出せる
こと,に,気づく
データ,に,基づく
使い方,を,提案
データ,から,作る
番組,を,作る
加速器,を,使う
答え,を,求める
性質,を,説明
終焉,を,意味
状況,を,伝える
講演,に,傾ける
耳,を,傾ける
終焉,に,達する
一生,を,通す
私達,を,する
ウォールディンガー,に,拠る
私達,に,教える
基,に,語る
秘訣,を,語る
トーク,で,語る
人生,を,する
最前線,を,一変
置き去り,に,なる
インターネット,に,行う
企業,に,行う
テロリスト,に,なる
土壌,と,なる
こと,を,示す
一方,で,抱える
危険,を,抱える
プログラム,を,やめる
バックドア,を,塞ぐ
政府,に,促す
戦争,を,理解
思いやり,を,もつ
話題,に,長生き
役割,に,語る
友情,を,祝う
自分,で,運営
墓地,を,運営
イギリス,で,言う
場所,に,掘り下げる
中,で,見過ごす
墓地,に,驚く
トーク,で,提示
視点,を,提示
法律,を,挙げる
例,に,挙げる
場所,に,関わる
法律,に,解説
街,に,葬る
死者,を,葬る
計画,に,携わる
生命,を,保持
場所,を,探す
宇宙,に,探す
火星,に,傾ける
言葉,に,傾ける
耳,を,傾ける
講演,で,主張
地球,を,する
とき,に,移り住む
場所,と,見る
火星,を,見る
保護,を,捉える
面,と,捉える
惑星,を,探す
海,を,晒す
脅威,に,晒す
理性,を,する
漁業,で,立てる
生計,を,立てる
人々,に,ある
自然界,に,提案
方法,を,提案
代わり,に,食べる
何,を,食べる
ボクサー,に,なる
ボックス,で,寝付く
彼女,を,寝付く
ダンス・ミュージック,を,融合
今,で,知る
ジャムセッション,で,知る
レッスン,を,受ける
ショー,を,楽しむ
未来,を,作る
力学,を,使う
方,を,シュミレーション
結果,を,得る
客室,で,する
くしゃみ,を,する
病原菌,を,運ぶ
乗客,に,運ぶ
内,で,動く
動く,を,描く
フィン,を,用いる
流れ,を,増やす
病原菌,を,含む
クローゼット,を,飾る
プロジェクト,と,始まる
強度,を,持つ
コレクション,に,なる
服,を,ダウンロード
息,を,飲む
トーク,で,誘う
私たち,を,誘う
奥底,へ,誘う
奥底,と,誘う
息,を,止める
心身,に,もたらす
変化,を,解説
描写,で,語る
詩心,を,する
技術,に,向上
質,を,向上
視覚,を,使う
世界,を,動き回れる
時,に,失う
視力,を,失う
問,に,答える
笑い,を,誘う
映像,で,紹介
世界,を,探索
アクセシビリティ,を,デザイン
恩恵,を,受ける
世界,を,探索
女性,に,ある
私たち,に,ある
産休,を,提供
母親,に,提供
トーク,で,訴える
こと,を,訴える
数週間,で,戻る
職場,に,戻る
こと,を,する
経済的,を,認識
赤ちゃん,に,くる
たち,に,与える
産休,を,与える
将来,を,安定
こと,に,す
もの,に,す
赤ちゃん,を,失望
生態,を,研究
時間,を,かける
キロ,に,連なる
住みか,と,なる
構造物,を,造り上げる
現状,に,憂える
ため,に,する
ニュース,で,する
耳,に,する
無脊椎動物,に,分かる
サンゴ,を,助ける
こと,に,つながる
こと,が,つながる
こと,を,つながる
こと,に,つながる
一面,を,紹介
サンゴ,を,育てる
サンゴ礁,を,再生
境界,を,押し進める
意識,を,高める
変化,を,目指す
観客,と,向かい合う
椅子,に,腰掛ける
作品,で,生む
経験,を,生む
もと,に,なす
行為,を,する
目的,と,する
世界中,に,広がる
形,を,とる
こと,を,する
こと,に,取り組む
領域,に,踏み入れる
足,を,踏み入れる
絆,から,生まれる
履歴書,を,持つ
困難,を,戦う
どちら,を,選ぶ
常,に,与える
闘士,に,与える
チャンス,を,与える
逆境,を,生きる
ところ,から,這い上がる
環境,を,耐える
人,に,ある
候補者,に,向ける
目,を,向ける
闘士,を,採用
本棚,に,ある
文化的,を,発見
目標,を,設定
本,を,読む
書,を,読む
人々,に,促す
傑作,を,届ける
マップ,を,ご覧
こちら,で,ご覧
本,を,読む
一朝一夕,で,誕生
身,を,寄せる
一面,に,書き付ける
シンボル,を,書き付ける
洞穴,に,残す
しるし,を,研究
結果,に,見受ける
図形,を,使う
一瞬,で,消える
メッセージ,を,伝達
古く,から,ある
こと,を,示唆
洞穴,に,描く
中,で,起きる
こと,を,知る
物語,を,紡ぎ出す
地球,を,共有
道具,を,使う
感情,を,表現
逸話,から,示す
こと,を,示す
何,を,感ずる
何,を,思う
日常,に,起こる
太平洋,に,浮かぶ
上昇,に,水没
対談,で,語る
危機,に,語る
変動,に,対処
犠牲,を,伴う
人々,に,伝える
ヘッド,と,呼ぶ
スニーカー,を,収集
欲求,を,抱く
原動力,と,なる
熱狂,を,生み出す
間,に,生み出す
市場,に,持つ
力,を,持つ
プレス,で,収集
データ,を,収集
ため,に,分析
トーク,で,紹介
市場,を,紹介
モデル,と,なる
可能性,を,考察
バグダッド,に,開始
侵入,を,開始
ホテル,を,直撃
戦場,で,賭ける
命,を,賭ける
たち,に,とる
亡霊,と,出会う
目,に,見える
人,を,殺す
出会い,と,表現
心的外傷後ストレス障害,と,呼ぶ
後,に,残す
もの,に,探る
死,と,遭遇
後,に,残す
責任,を,する
宗教的,を,尊重
問い,に,示す
答え,を,示す
中,で,育てる
地位,から,除外
過程,で,する
中,で,する
目,に,する
ため,に,活動
自由,を,与える
力,を,与える
暴力,に,与える
影響,を,与える
教会,を,変化
内部,から,変化
拠り所,と,なる
示唆,に,富む
結びつき,を,強める
トーク,で,呼びかける
アルゴリズム,に,反映
プログラム,を,する
それ,を,消し去る
結果,に,隠れる
サンフランシスコ,に,住む
生活,を,する
権利,を,持つ
世界,で,する
事,を,する
スーパーゲイ,を,探す
カ国,を,旅
事,を,公表
婚姻,を,認める
中,で,見つける
スーパーゲイ,を,見つける
ジャンル,と,いえる
手,で,弾く
ギター,に,投影
色彩,を,投影
技術,を,統合
こと,で,作る
作品,へ,作る
作品,を,作る
ネック,を,使う
音色,を,奏でる
人々,を,連れる
音楽,で,連れる
世界,に,連れる
技術,を,用いる
地域,に,住む
ネット,を,使える
電池,を,使う
新技術,を,発明
デバイド,を,解消
鍵,と,なる
群れ,を,つくる
こと,から,包む
謎,に,包む
化石,と,知る
歴史,に,登場
前,に,なる
危機,に,さらす
ブラジル,で,危ぶむ
示唆,に,富む
トーク,で,紹介
取組み,を,紹介
さん,に,投げかける
問い,を,投げかける
バク,を,絶滅
難民,を,乗せる
重量,を,超過
船,に,乗る
英雄,と,なる
フレミング,に,語る
物語,を,聞く
生活,を,求める
国,を,脱する
人々,を,語る
数字,に,浮かぶ
難民,を,乗せる
難民,を,乗せる
海,に,沈む
org,に,求める
助け,を,求める
きっかけ,に,設立
受け皿,と,設立
中,で,展開
最近,で,受信
メッセージ,を,受信
強み,を,活用
問題,から,救う
人々,を,救う
